Date,Open,High,Low,Close,Volume
2020-07-06 00:00:00+00:00,0.003989,0.003989,0.00334,0.003648,16565042499.0
2020-07-13 00:00:00+00:00,0.003647,0.003779,0.00287,0.003385,42973016855.0
2020-07-20 00:00:00+00:00,0.003386,0.003432,0.003125,0.003239,14574090624.0
2020-07-27 00:00:00+00:00,0.00324,0.003872,0.002999,0.00334,23911218859.0
2020-08-03 00:00:00+00:00,0.00334,0.003656,0.003311,0.003471,16455155179.0
2020-08-10 00:00:00+00:00,0.003471,0.003637,0.003311,0.003535,13302952072.0
2020-08-17 00:00:00+00:00,0.003534,0.00374,0.003319,0.003398,12393781382.0
2020-08-24 00:00:00+00:00,0.003398,0.003478,0.003127,0.003298,8123802369.0
2020-08-31 00:00:00+00:00,0.003298,0.003306,0.00267,0.002779,10140657395.0
2020-09-07 00:00:00+00:00,0.002779,0.002845,0.002662,0.002787,6447063972.0
2020-09-14 00:00:00+00:00,0.002788,0.002872,0.00272,0.002775,6263213943.0
2020-09-21 00:00:00+00:00,0.002776,0.0028,0.00252,0.002696,7308367826.0
2020-09-28 00:00:00+00:00,0.002696,0.002737,0.002525,0.002635,4899827987.0
2020-10-05 00:00:00+00:00,0.002635,0.00272,0.002538,0.002671,6988424266.0
2020-10-12 00:00:00+00:00,0.002672,0.002711,0.00255,0.002588,6899581403.0
2020-10-19 00:00:00+00:00,0.002588,0.002698,0.00257,0.002653,6946518595.0
2020-10-26 00:00:00+00:00,0.002653,0.002912,0.002503,0.002575,10881902775.0
2020-11-02 00:00:00+00:00,0.002574,0.002833,0.002455,0.002705,11253537303.0
2020-11-09 00:00:00+00:00,0.002705,0.002894,0.002656,0.002776,7838236846.0
2020-11-16 00:00:00+00:00,0.002775,0.003715,0.002756,0.003344,30273335192.0
2020-11-23 00:00:00+00:00,0.003344,0.004319,0.002943,0.003443,39180378433.0
2020-11-30 00:00:00+00:00,0.003444,0.0036,0.003245,0.003391,9344275552.0
2020-12-07 00:00:00+00:00,0.003391,0.003406,0.003,0.00326,5759652787.0
2020-12-14 00:00:00+00:00,0.00326,0.004756,0.003166,0.004642,33334003448.0
2020-12-21 00:00:00+00:00,0.004641,0.005445,0.003581,0.004554,46335385952.0
2020-12-28 00:00:00+00:00,0.004551,0.014076,0.00424,0.009877,171060021293.0
2021-01-04 00:00:00+00:00,0.009878,0.011554,0.0077,0.009841,65572853373.0
2021-01-11 00:00:00+00:00,0.009842,0.010109,0.00666,0.00912,29445168670.0
2021-01-18 00:00:00+00:00,0.009116,0.009688,0.007527,0.008724,14606893072.0
2021-01-25 00:00:00+00:00,0.008722,0.0887,0.007235,0.036885,399583883062.0
2021-02-01 00:00:00+00:00,0.036868,0.08781,0.028768,0.07803,171401863674.0
2021-02-08 00:00:00+00:00,0.07803,0.086134,0.0556,0.062711,85430152861.0
2021-02-15 00:00:00+00:00,0.062711,0.064735,0.046005,0.056063,55892649210.0
2021-02-22 00:00:00+00:00,0.05609,0.061123,0.04139,0.048171,37177722926.0
2021-03-01 00:00:00+00:00,0.048147,0.052958,0.04752,0.052056,14253662891.0
2021-03-08 00:00:00+00:00,0.05208,0.064,0.05165,0.058168,24077696832.0
2021-03-15 00:00:00+00:00,0.058168,0.060729,0.054975,0.05758,11789412431.0
2021-03-22 00:00:00+00:00,0.05758,0.058079,0.049594,0.053726,9665586940.0
2021-03-29 00:00:00+00:00,0.053726,0.07045,0.051495,0.057457,30439209026.0
2021-04-05 00:00:00+00:00,0.057473,0.080221,0.056309,0.074548,37988847017.0
2021-04-12 00:00:00+00:00,0.074551,0.459535,0.068847,0.322905,214487359725.0
2021-04-19 00:00:00+00:00,0.322945,0.437976,0.161,0.251418,128292602867.0
2021-04-26 00:00:00+00:00,0.251418,0.401118,0.246797,0.374584,47890379780.0
2021-05-03 00:00:00+00:00,0.374575,0.744178,0.374332,0.570961,124163450538.0
2021-05-10 00:00:00+00:00,0.570871,0.59092,0.348553,0.51351,60954764165.0
2021-05-17 00:00:00+00:00,0.5134,0.51636,0.1958,0.3062,45535485194.0
2021-05-24 00:00:00+00:00,0.30618,0.3799,0.2791,0.30181,26334712154.0
2021-05-31 00:00:00+00:00,0.30189,0.447,0.2937,0.37146,58415431790.0
2021-06-07 00:00:00+00:00,0.37146,0.38,0.295,0.32401,27938385849.0
2021-06-14 00:00:00+00:00,0.32396,0.33796,0.25488,0.28021,15313881833.0
2021-06-21 00:00:00+00:00,0.28022,0.28941,0.16275,0.26462,99369250476.0
2021-06-28 00:00:00+00:00,0.26463,0.27576,0.23741,0.24634,29055359189.0
2021-07-05 00:00:00+00:00,0.24635,0.24635,0.195,0.216,24289176564.0
2021-07-12 00:00:00+00:00,0.21599,0.219,0.16865,0.18144,30144293868.0
2021-07-19 00:00:00+00:00,0.18144,0.21437,0.15933,0.19792,47111109248.0
2021-07-26 00:00:00+00:00,0.19789,0.23329,0.195,0.20409,31371230491.0
2021-08-02 00:00:00+00:00,0.20412,0.28489,0.19311,0.24008,41489678475.0
2021-08-09 00:00:00+00:00,0.24005,0.34978,0.2306,0.34036,67314206532.0
2021-08-16 00:00:00+00:00,0.34036,0.35222,0.276,0.31492,52804975042.0
2021-08-23 00:00:00+00:00,0.31491,0.32865,0.2641,0.28126,27322523282.0
2021-08-30 00:00:00+00:00,0.28126,0.316,0.26979,0.31476,27544870001.0
2021-09-06 00:00:00+00:00,0.31474,0.32095,0.20225,0.25042,29421969360.0
2021-09-13 00:00:00+00:00,0.25046,0.26012,0.22803,0.23308,14086821076.0
2021-09-20 00:00:00+00:00,0.23308,0.23349,0.19396,0.20477,19630935816.0
2021-09-27 00:00:00+00:00,0.20479,0.22693,0.19451,0.2219,12057184452.0
2021-10-04 00:00:00+00:00,0.22191,0.27199,0.21212,0.22881,34198519347.0
2021-10-11 00:00:00+00:00,0.22881,0.24596,0.21559,0.23802,16346896919.0
2021-10-18 00:00:00+00:00,0.23803,0.28333,0.235,0.27603,37173178478.0
2021-10-25 00:00:00+00:00,0.27603,0.341,0.21,0.28021,80351948376.0
2021-11-01 00:00:00+00:00,0.28023,0.28707,0.24952,0.26679,21012889378.0
2021-11-08 00:00:00+00:00,0.26679,0.29754,0.23,0.26304,27241188943.0
2021-11-15 00:00:00+00:00,0.26305,0.26541,0.215,0.22582,15768395192.0
2021-11-22 00:00:00+00:00,0.22584,0.23728,0.18221,0.20727,17940020511.0
2021-11-29 00:00:00+00:00,0.20727,0.22761,0.1257,0.17123,29566366490.0
2021-12-06 00:00:00+00:00,0.17123,0.184,0.15864,0.16954,14427169340.0
2021-12-13 00:00:00+00:00,0.16954,0.21975,0.15121,0.16935,46372554456.0
2021-12-20 00:00:00+00:00,0.16935,0.1965,0.161,0.18976,16503225646.0
2021-12-27 00:00:00+00:00,0.18979,0.19287,0.16475,0.17439,11670381145.0
2022-01-03 00:00:00+00:00,0.1744,0.17442,0.14501,0.15042,13610224717.0
2022-01-10 00:00:00+00:00,0.15042,0.215,0.13589,0.17659,52463432193.0
2022-01-17 00:00:00+00:00,0.1766,0.17835,0.11952,0.14169,31610933346.0
2022-01-24 00:00:00+00:00,0.14171,0.1534,0.12524,0.13904,21760821155.0
2022-01-31 00:00:00+00:00,0.13904,0.15573,0.13459,0.15394,13705691238.0
2022-02-07 00:00:00+00:00,0.15394,0.17304,0.14,0.14799,23619000562.0
2022-02-14 00:00:00+00:00,0.14799,0.15235,0.13455,0.13659,15890075966.0
2022-02-21 00:00:00+00:00,0.13659,0.14195,0.10624,0.12282,19539985614.0
2022-02-28 00:00:00+00:00,0.12283,0.13891,0.119,0.12055,12207342015.0
2022-03-07 00:00:00+00:00,0.12055,0.12444,0.10977,0.11133,10202723560.0
2022-03-14 00:00:00+00:00,0.11133,0.12498,0.11,0.11913,12332781693.0
2022-03-21 00:00:00+00:00,0.11913,0.14565,0.11755,0.14471,23193325955.0
2022-03-28 00:00:00+00:00,0.1447,0.15388,0.132,0.14661,21333464700.0
2022-04-04 00:00:00+00:00,0.14661,0.1795,0.14,0.14821,61156398147.0
2022-04-11 00:00:00+00:00,0.1482,0.15138,0.13275,0.1391,32396737438.0
2022-04-18 00:00:00+00:00,0.13909,0.1467,0.13073,0.13171,18318004421.0
2022-04-25 00:00:00+00:00,0.1317,0.17109,0.12222,0.13257,89222024515.0
2022-05-02 00:00:00+00:00,0.13256,0.13769,0.122,0.12405,22506235465.0
2022-05-09 00:00:00+00:00,0.12406,0.12527,0.0684,0.09308,50589127677.0
2022-05-16 00:00:00+00:00,0.09309,0.09311,0.08124,0.08582,13932146672.0
2022-05-23 00:00:00+00:00,0.08582,0.09017,0.07489,0.08267,24062131098.0
2022-05-30 00:00:00+00:00,0.08267,0.0895,0.07865,0.081,15551839100.0
2022-06-06 00:00:00+00:00,0.08101,0.08472,0.06331,0.06344,14308577867.0
2022-06-13 00:00:00+00:00,0.06344,0.06621,0.04901,0.06043,46944147497.0
2022-06-20 00:00:00+00:00,0.06042,0.07758,0.05739,0.07292,34328232578.0
2022-06-27 00:00:00+00:00,0.07293,0.0788,0.06214,0.06716,38444718021.0
2022-07-04 00:00:00+00:00,0.06717,0.07355,0.06547,0.06723,17958979946.0
2022-07-11 00:00:00+00:00,0.06724,0.06725,0.05733,0.06303,16277809268.0
