Date,Open,High,Low,Close,Volume
2020-09-14 00:00:00+00:00,3.2002,4.91,2.3569,2.8635,37049935.0
2020-09-21 00:00:00+00:00,2.8567,3.2698,2.4576,3.1617,44742693.0
2020-09-28 00:00:00+00:00,3.1596,3.2116,2.4224,2.5236,32565001.0
2020-10-05 00:00:00+00:00,2.5244,2.677,2.0117,2.4257,41923733.0
2020-10-12 00:00:00+00:00,2.4269,2.7096,2.103,2.2186,36618595.0
2020-10-19 00:00:00+00:00,2.2167,2.2206,1.7628,1.7937,42392154.0
2020-10-26 00:00:00+00:00,1.7946,1.8723,1.3379,1.6076,48681188.0
2020-11-02 00:00:00+00:00,1.6062,2.5,1.2737,2.1571,94971449.0
2020-11-09 00:00:00+00:00,2.1571,2.3306,1.8265,2.0431,61409745.0
2020-11-16 00:00:00+00:00,2.0421,2.5204,1.9859,2.1502,73508937.0
2020-11-23 00:00:00+00:00,2.1488,2.4856,1.712,1.9093,77915534.0
2020-11-30 00:00:00+00:00,1.9101,2.2223,1.8097,1.8515,51124148.0
2020-12-07 00:00:00+00:00,1.8517,1.9006,1.4316,1.5636,48436181.0
2020-12-14 00:00:00+00:00,1.564,1.8167,1.5178,1.5638,68723420.0
2020-12-21 00:00:00+00:00,1.565,1.6198,1.069,1.3023,64980805.0
2020-12-28 00:00:00+00:00,1.3027,2.3589,1.2857,2.1767,135235283.0
2021-01-04 00:00:00+00:00,2.1783,3.848,1.6734,3.446,352428821.0
2021-01-11 00:00:00+00:00,3.4453,4.02,2.5833,3.8328,139420922.0
2021-01-18 00:00:00+00:00,3.8344,4.1747,2.5122,3.6369,95262374.0
2021-01-25 00:00:00+00:00,3.6353,4.8252,3.44,4.2628,83099413.0
2021-02-01 00:00:00+00:00,4.2644,7.18,4.0986,6.7037,73864771.0
2021-02-08 00:00:00+00:00,6.7028,9.9378,6.4777,8.7306,68074974.0
2021-02-15 00:00:00+00:00,8.7303,11.8291,7.5269,11.0851,66720301.0
2021-02-22 00:00:00+00:00,11.0805,18.1794,8.88,13.1072,128069953.0
2021-03-01 00:00:00+00:00,13.0973,15.5512,11.8944,13.845,54010370.0
2021-03-08 00:00:00+00:00,13.8493,16.5288,13.1,14.4642,54060300.0
2021-03-15 00:00:00+00:00,14.468,14.9722,13.0263,14.3395,43496294.0
2021-03-22 00:00:00+00:00,14.3346,19.413,12.35,18.1022,74330828.0
2021-03-29 00:00:00+00:00,18.1022,25.5801,17.6614,23.7879,62984023.0
2021-04-05 00:00:00+00:00,23.7908,29.1026,21.6509,27.9493,63187161.0
2021-04-12 00:00:00+00:00,27.9538,32.9957,18.8868,32.3492,65812305.0
2021-04-19 00:00:00+00:00,32.3739,48.56,28.8,47.3823,126396465.0
2021-04-26 00:00:00+00:00,47.374,50.1542,40.65,46.9593,71896511.0
2021-05-03 00:00:00+00:00,46.9537,49.1178,41.465,44.3591,50496801.0
2021-05-10 00:00:00+00:00,44.3585,52.583,37.431,46.866,68049327.0
2021-05-17 00:00:00+00:00,46.87,58.583,19.127,24.517,146535439.0
2021-05-24 00:00:00+00:00,24.5,37.29,24.499,28.59,89031278.0
2021-05-31 00:00:00+00:00,28.582,43.47,27.513,42.199,97636272.0
2021-06-07 00:00:00+00:00,42.201,44.193,33.55,38.708,128617430.0
2021-06-14 00:00:00+00:00,38.706,41.74,31.241,35.228,77591661.0
2021-06-21 00:00:00+00:00,35.234,35.5,20.098,31.853,173601057.0
2021-06-28 00:00:00+00:00,31.848,36.0,30.953,34.29,80851712.0
2021-07-05 00:00:00+00:00,34.287,38.117,31.0,32.173,57548193.0
2021-07-12 00:00:00+00:00,32.17,32.682,25.937,26.662,54048009.0
2021-07-19 00:00:00+00:00,26.666,29.496,22.051,28.232,62409264.0
2021-07-26 00:00:00+00:00,28.234,37.0,26.871,34.164,73001452.0
2021-08-02 00:00:00+00:00,34.175,40.557,32.33,37.688,58656952.0
2021-08-09 00:00:00+00:00,37.682,54.789,36.322,53.565,54653308.0
2021-08-16 00:00:00+00:00,53.576,82.1,52.343,72.806,254804687.0
2021-08-23 00:00:00+00:00,72.808,97.907,66.065,94.239,139663003.0
2021-08-30 00:00:00+00:00,94.242,151.182,93.623,142.14,242353652.0
2021-09-06 00:00:00+00:00,142.14,216.39,130.0,174.507,299872518.0
2021-09-13 00:00:00+00:00,174.507,175.0,134.0,152.973,177727794.0
2021-09-20 00:00:00+00:00,152.965,153.577,115.576,135.619,189837236.0
2021-09-27 00:00:00+00:00,135.631,178.0,128.06,173.045,113894552.0
2021-10-04 00:00:00+00:00,173.046,173.12,145.3,147.62,77393383.0
2021-10-11 00:00:00+00:00,147.606,167.716,137.696,160.291,72777950.0
2021-10-18 00:00:00+00:00,160.29,215.781,153.231,202.386,117485580.0
2021-10-25 00:00:00+00:00,202.386,219.156,174.0,202.668,71111345.0
2021-11-01 00:00:00+00:00,202.681,260.064,197.556,249.746,61464994.0
2021-11-08 00:00:00+00:00,249.74,253.668,215.027,238.737,39104559.0
2021-11-15 00:00:00+00:00,238.772,246.495,186.388,230.788,48443762.0
2021-11-22 00:00:00+00:00,230.732,232.12,180.782,200.713,43362399.0
2021-11-29 00:00:00+00:00,200.708,243.161,166.0,196.317,69122338.0
2021-12-06 00:00:00+00:00,196.318,204.0,161.211,172.799,39682104.0
2021-12-13 00:00:00+00:00,172.809,189.4,147.9,179.86,45722120.0
2021-12-20 00:00:00+00:00,179.86,200.65,168.41,197.8,31069185.0
2021-12-27 00:00:00+00:00,197.82,204.81,167.57,176.29,26561852.0
2022-01-03 00:00:00+00:00,176.27,176.44,132.89,140.77,41764707.0
2022-01-10 00:00:00+00:00,140.74,157.75,129.45,147.92,36773498.0
2022-01-17 00:00:00+00:00,147.93,148.22,87.47,99.67,68338371.0
2022-01-24 00:00:00+00:00,99.66,104.45,80.7,93.15,96657735.0
2022-01-31 00:00:00+00:00,93.16,118.54,89.15,115.18,103709538.0
2022-02-07 00:00:00+00:00,115.2,121.88,91.24,92.8,59458419.0
2022-02-14 00:00:00+00:00,92.79,105.77,85.39,90.63,59658769.0
2022-02-21 00:00:00+00:00,90.63,96.13,75.25,85.58,107380897.0
2022-02-28 00:00:00+00:00,85.57,106.43,84.02,84.53,77026184.0
2022-03-07 00:00:00+00:00,84.53,89.92,77.54,78.69,58203284.0
2022-03-14 00:00:00+00:00,78.68,94.59,77.93,88.58,58269020.0
2022-03-21 00:00:00+00:00,88.58,107.44,86.62,106.94,70572088.0
2022-03-28 00:00:00+00:00,106.94,143.57,105.14,136.85,106919153.0
2022-04-04 00:00:00+00:00,136.87,138.39,108.01,111.04,75962778.0
2022-04-11 00:00:00+00:00,111.03,111.86,97.98,100.08,72167798.0
2022-04-18 00:00:00+00:00,100.09,110.92,94.6,99.13,64547974.0
2022-04-25 00:00:00+00:00,99.15,102.0,81.67,89.61,66621301.0
2022-05-02 00:00:00+00:00,89.61,95.22,73.58,75.34,69094424.0
2022-05-09 00:00:00+00:00,75.34,77.19,37.1,58.8,235461044.0
2022-05-16 00:00:00+00:00,58.8,58.8,47.76,52.44,136415526.0
2022-05-23 00:00:00+00:00,52.44,54.66,39.91,44.95,161873668.0
2022-05-30 00:00:00+00:00,44.95,48.58,35.65,38.51,184306986.0
2022-06-06 00:00:00+00:00,38.5,44.99,30.53,30.56,254617825.0
2022-06-13 00:00:00+00:00,30.56,36.26,25.81,34.16,489274734.0
2022-06-20 00:00:00+00:00,34.17,42.91,31.7,39.36,307804360.0
2022-06-27 00:00:00+00:00,39.36,41.28,30.79,33.37,239944916.0
2022-07-04 00:00:00+00:00,33.37,39.7,32.41,36.7,203265219.0
2022-07-11 00:00:00+00:00,36.69,41.09,31.7,38.58,183675962.0
2022-07-18 00:00:00+00:00,38.58,47.4,38.53,40.91,211204844.0
2022-07-25 00:00:00+00:00,40.91,46.64,34.64,42.32,185496735.0
2022-08-01 00:00:00+00:00,42.31,43.23,37.39,40.59,159855495.0
2022-08-08 00:00:00+00:00,40.6,48.38,39.11,44.86,177904146.0
2022-08-15 00:00:00+00:00,44.85,47.24,34.15,36.45,185541960.0
2022-08-22 00:00:00+00:00,36.45,36.54,30.14,30.38,149523922.0
2022-08-29 00:00:00+00:00,30.38,33.17,29.9,32.15,127405103.0
2022-09-05 00:00:00+00:00,32.14,36.02,30.27,34.97,141418064.0
2022-09-12 00:00:00+00:00,34.97,38.93,30.78,31.07,165573661.0
2022-09-19 00:00:00+00:00,31.07,34.78,29.98,32.31,149494698.0
2022-09-26 00:00:00+00:00,32.31,35.4,31.62,32.04,154189768.0
2022-10-03 00:00:00+00:00,32.04,34.48,31.69,32.9,86398631.0
2022-10-10 00:00:00+00:00,32.9,33.47,27.12,30.14,99751573.0
2022-10-17 00:00:00+00:00,30.14,31.47,26.82,29.25,113808981.0
2022-10-24 00:00:00+00:00,29.26,33.85,28.03,32.91,172767209.0
2022-10-31 00:00:00+00:00,32.92,38.79,30.2,32.6,188869167.0
2022-11-07 00:00:00+00:00,32.61,33.11,9.423,13.126,1505253587.0
2022-11-14 00:00:00+00:00,13.125,15.36,12.0,12.251,347328269.0
2022-11-21 00:00:00+00:00,12.252,14.964,10.901,14.099,273421611.0
2022-11-28 00:00:00+00:00,14.097,14.3,12.743,13.7,144338635.0
2022-12-05 00:00:00+00:00,13.7,14.373,13.258,13.406,82734070.0
2022-12-12 00:00:00+00:00,13.407,14.96,11.895,12.369,133070932.0
2022-12-19 00:00:00+00:00,12.37,12.573,11.03,11.373,92650089.0
2022-12-26 00:00:00+00:00,11.372,11.488,7.777,9.977,502423850.0
2023-01-02 00:00:00+00:00,9.977,15.489,9.796,14.465,627725628.0
2023-01-09 00:00:00+00:00,14.464,25.2,14.256,22.903,638471744.0
2023-01-16 00:00:00+00:00,22.903,26.687,20.31,24.195,456472779.0
2023-01-23 00:00:00+00:00,24.196,26.869,22.11,26.09,276255639.0
2023-01-30 00:00:00+00:00,26.09,26.334,22.45,23.464,239815616.0
2023-02-06 00:00:00+00:00,23.465,24.24,19.66,21.483,202663731.0
2023-02-13 00:00:00+00:00,21.484,25.68,19.72,24.853,249223270.0
2023-02-20 00:00:00+00:00,24.851,27.15,21.4,23.238,232489971.0
2023-02-27 00:00:00+00:00,23.238,23.4,20.175,20.96,125765839.0
2023-03-06 00:00:00+00:00,20.96,21.18,15.993,20.193,280753007.0
2023-03-13 00:00:00+00:00,20.193,23.0,18.633,21.864,267106395.0
2023-03-20 00:00:00+00:00,21.864,23.91,20.074,20.931,204059089.0
2023-03-27 00:00:00+00:00,20.929,21.661,19.297,20.509,111389065.0
2023-04-03 00:00:00+00:00,20.509,21.34,19.821,20.278,74858555.0
2023-04-10 00:00:00+00:00,20.277,25.538,20.063,25.352,292394918.0
2023-04-17 00:00:00+00:00,25.352,26.067,20.809,21.461,183140538.0
2023-04-24 00:00:00+00:00,21.461,24.0,20.291,22.729,174896034.0
2023-05-01 00:00:00+00:00,22.728,23.233,21.22,21.659,153933558.0
2023-05-08 00:00:00+00:00,21.659,21.816,19.626,20.917,147313238.0
2023-05-15 00:00:00+00:00,20.915,21.518,19.3,19.605,97367849.0
2023-05-22 00:00:00+00:00,19.604,21.187,18.53,20.797,116026110.0
2023-05-29 00:00:00+00:00,20.798,22.297,20.265,21.814,102414531.0
2023-06-05 00:00:00+00:00,21.814,22.047,12.6,15.534,328298967.0
2023-06-12 00:00:00+00:00,15.535,16.211,13.97,15.43,246023302.0
2023-06-19 00:00:00+00:00,15.429,17.737,15.32,16.947,195311082.0
2023-06-26 00:00:00+00:00,16.949,20.038,15.473,19.453,314323385.0
2023-07-03 00:00:00+00:00,19.454,22.468,18.151,21.314,365169731.0
2023-07-10 00:00:00+00:00,21.315,33.579,20.434,27.404,476167701.0
2023-07-17 00:00:00+00:00,27.403,28.488,23.95,24.752,274761616.0
2023-07-24 00:00:00+00:00,24.752,25.722,22.7,24.236,216774357.0
2023-07-31 00:00:00+00:00,24.236,24.769,22.17,23.182,186056865.0
2023-08-07 00:00:00+00:00,23.183,25.3,22.25,24.216,169071479.0
2023-08-14 00:00:00+00:00,24.217,25.5,19.63,21.76,208054952.0
2023-08-21 00:00:00+00:00,21.762,21.999,19.2,20.779,170278792.0
2023-08-28 00:00:00+00:00,20.778,22.063,19.009,19.555,167117221.0
2023-09-04 00:00:00+00:00,19.554,20.6,17.733,18.219,191528582.0
2023-09-11 00:00:00+00:00,18.22,19.495,17.32,18.798,289318675.0
2023-09-18 00:00:00+00:00,18.799,20.547,18.56,19.351,174283913.0
2023-09-25 00:00:00+00:00,19.35,24.506,18.716,23.873,197662044.0
2023-10-02 00:00:00+00:00,23.873,24.83,22.483,23.204,307903001.0
2023-10-09 00:00:00+00:00,23.204,23.364,20.82,21.918,178691266.0
2023-10-16 00:00:00+00:00,21.918,30.368,21.876,29.031,366741802.0
2023-10-23 00:00:00+00:00,29.03,33.96,28.72,32.826,359255928.0
2023-10-30 00:00:00+00:00,32.828,46.8,32.256,41.167,443085481.0
2023-11-06 00:00:00+00:00,41.167,64.036,39.656,56.315,423912547.0
2023-11-13 00:00:00+00:00,56.315,68.356,51.166,61.099,396011066.0
2023-11-20 00:00:00+00:00,61.099,61.358,51.2,57.593,226463160.0
2023-11-27 00:00:00+00:00,57.593,65.622,53.412,63.015,196413407.0
2023-12-04 00:00:00+00:00,63.02,77.879,59.0,74.907,258075145.0
2023-12-11 00:00:00+00:00,74.904,79.679,63.501,70.902,223857882.0
2023-12-18 00:00:00+00:00,70.902,118.7,66.851,112.571,284042260.0
2023-12-25 00:00:00+00:00,112.572,126.938,97.32,101.778,266357939.0
2024-01-01 00:00:00+00:00,101.775,117.1,83.51,89.414,216362871.0
2024-01-08 00:00:00+00:00,89.414,108.0,85.1,93.83,240078866.0
2024-01-15 00:00:00+00:00,93.829,103.635,87.005,91.105,154356265.0
2024-01-22 00:00:00+00:00,91.111,99.428,78.96,95.948,199039634.0
2024-01-29 00:00:00+00:00,95.948,106.5,93.1,95.451,173240964.0
2024-02-05 00:00:00+00:00,95.452,110.839,93.116,107.471,143633866.0
2024-02-12 00:00:00+00:00,107.471,118.837,103.382,112.345,158812813.0
2024-02-19 00:00:00+00:00,112.344,115.022,98.5,103.569,135107800.0
2024-02-26 00:00:00+00:00,103.57,137.996,100.35,130.304,233969076.0
2024-03-04 00:00:00+00:00,130.304,152.9,103.99,144.497,216486025.0
2024-03-11 00:00:00+00:00,144.501,205.0,136.371,201.962,282085303.0
2024-03-18 00:00:00+00:00,201.96,210.425,162.453,184.019,226326957.0
2024-03-25 00:00:00+00:00,184.018,203.459,180.29,202.678,117154098.0
2024-04-01 00:00:00+00:00,202.685,204.755,168.1,179.615,133151935.0
2024-04-08 00:00:00+00:00,179.615,184.799,112.917,151.187,187990704.0
